8/10/2026,<< Data Refreshed Date,,,,GYM & FITNESS - STOCK AVAILABILITY,,,,,,,SALES,,,,,,PURCHASE ORDER,,,,GMROI,Calendar Week:,33,
Brand,Item Name,Item Description,Master Category,Sub Category,Classification,Current Weeks Cover,On Hand,On Order,Committed,Available,Back Ordered,Units Sold MTD, Rev $ MTD ,Units Sold YTD, Rev $ YTD ,GP % YTD,YTD WEEKLY ROS,Order ETA,Order Quantity,Allocated Demand,Next PO,Q1,GMROI Q2,GMROI Q3,GMROI Q4
FORCE USA,COWP35-LB,Force USA Coloured Olympic Weight Plate 35LB,STRENGTH,Weight Plates,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,6,0,PO0033336,0.00,,,
FORCE USA,COWP45-LB,Force USA Coloured Olympic Weight Plate 45LB,STRENGTH,Weight Plates,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,6,0,PO0033336,0.00,,,
FORCE USA,COWP55-LB,Force USA Coloured Olympic Weight Plate 55LB,STRENGTH,Weight Plates,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,6,0,PO0033336,0.00,,,
FORCE USA,F-3RDR,Force USA 3 Tier Round Dumbbell Rack,STRENGTH,Storage,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-AIRBIKE,Force USA Air Bike,CARDIO,Fan Bikes,Obsolete,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-AIRBIKE-B,Force USA AirBike Belt Drive,CARDIO,Bikes - Fan Bikes,A,0,0,30,0,0,0,0, $ -   ,0, $ -   ,,0.0,24-Aug-2026,30,0,PO0033159,0.00,,,
FORCE USA,F-AIRBIKE-V2,Force USA Airbike V2,CARDIO,Bikes - Fan Bikes,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-BIKE-ERG,Force USA Bike Erg,CARDIO,Bikes - Spin Bikes,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-BLACK-TEE-C-L,Force USA Black Large,FUNCTIONAL,Training Aids,Obsolete,4,4,0,0,4,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-BLACK-TEE-C-M,Force USA Black Medium,FUNCTIONAL,Training Aids,Obsolete,2,2,0,0,2,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-BPBST,Force USA Bumper Plate and Barbell Storage Tree,STRENGTH,Storage - Bar & Plate Storage,Obsolete,3,3,0,0,3,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-C-LJ,Force USA Cornerstone Lifting Jack - Set of 4,STRENGTH,All-In-One Trainers - All-In-One Attachments,Non-stocked,0,0,2,0,0,0,0, $ -   ,0, $ -   ,,0.0,30-Sep-2026,2,0,PO0033157,0.00,,,
FORCE USA,F-C-SHROUD-SET,Force USA C-Series Shroud Cover Set,STRENGTH,Attachments - Spare Parts,C,0,0,25,0,0,0,0, $ -   ,0, $ -   ,,0.0,30-Sep-2026,25,0,PO0033157,0.00,,,
FORCE USA,F-C-SPINBIKE,Force USA Commerical Spin Bike,CARDIO,Bikes - Spin Bikes,C,0,0,20,0,0,8,0, $ -   ,0, $ -   ,,0.0,24-Aug-2026,20,8,PO0033159,0.00,,,
FORCE USA,F-C10-A,Force USA C10 All-In-One Trainer (with Aluminium Pulleys),STRENGTH,All-In-One Trainers - All-In-One Trainers,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-C10-SB-A,Force USA C10 Sliding Bench (with Aluminium Pulleys),STRENGTH,Benches - Sliding,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-CABLEATTACH,Force USA Cable Attachment Kit,STRENGTH,Attachments - Cable Attachments,Obsolete,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-CAP,Force USA Cap,FUNCTIONAL,Training Aids,Obsolete,30,30,0,0,30,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-CLP-V4,FORCE USA Compact Leg Press & Hack Squat,STRENGTH,Single Stations - Lower Body,A,0,0,60,0,0,2,0, $ -   ,0, $ -   ,,0.0,30-Sep-2026,50,3,PO0033157,0.00,,,
FORCE USA,F-CRD2.5,Force USA Commercial Round Dumbbells - 2.5kg,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-CRD7.5,Force USA Commercial Round Dumbbells - 7.5kg,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-FTR-JH-SA,Force USA Functional Trainer Rack Including J-Hooks & Spotter Arms,STRENGTH,All-In-One Trainers - All-In-One Trainers,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-G1-V2-UPGRADE,Force USA G1/G3 Upgrade Kit,STRENGTH,All-In-One Trainers - All-In-One Attachments,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-G10-ALU,Force USA G10 Aluminium Pulley Upgrade,STRENGTH,Attachments - Cable Attachments,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-G12-C,Force USA G12 Compact All-In-One Trainer,STRENGTH,All-In-One Trainers,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-G12-LT,Force USA G12 All-In-One Trainer Light,STRENGTH,All-In-One Trainers,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-G12-V2-C,Force USA G12 V2 Compact,STRENGTH,All-In-One Trainers - All-In-One Trainers,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-G12-V2-C-C,Force USA G12 V2 Compact Carton,STRENGTH,All-In-One Trainers - All-In-One Attachments,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-G15B-C-C,Force USA G15 Compact,STRENGTH,All-In-One Trainers - All-In-One Trainers,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-G20-UPGRADE,Force USA G20 Upgrade kit,STRENGTH,All-In-One Trainers - All-In-One Attachments,Non-stocked,0,0,0,0,0,0,0, $ -   ,1, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-G3-CHIN-01,Force USA G3 All-In-One Trainer - 32mm and 50mm Straight Chin up bar option,STRENGTH,All-In-One Trainers - All-In-One Trainers,Obsolete,43,43,0,0,43,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-G3-V2-UPGRADE,Force USA G3 Upgrade Kit,STRENGTH,All-In-One Trainers - All-In-One Attachments,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-GIFT-SHAKERTOWEL-SET,Force USA Gift Set Shaker and Towel (Set of 4),FUNCTIONAL,Training Aids,C,246,246,0,0,246,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-JHOOK-2,Force USA J-Hook 2x2,STRENGTH,All-In-One Trainers - All-In-One Attachments,C,0,0,50,0,0,0,0, $ -   ,0, $ -   ,,0.0,30-Sep-2026,50,0,PO0033157,0.00,,,
FORCE USA,F-M-SHROUD-SET,Force USA M-Series Shroud Cover Set,STRENGTH,All-In-One Trainers - All-In-One Attachments,C,0,0,50,0,0,0,0, $ -   ,0, $ -   ,,0.0,30-Sep-2026,50,0,PO0033157,0.00,,,
FORCE USA,F-M10-ALU,Force USA Aluminium Upgrade Kit,STRENGTH,All-In-One Trainers - All-In-One Attachments,B,0,0,60,0,0,1,0, $ -   ,0, $ -   ,,0.0,30-Sep-2026,30,1,PO0033157,0.00,,,
FORCE USA,F-M10-FRAME-ALU,Force USA M10 Frame incl. Aluminium Pulleys,STRENGTH,All-In-One Trainers - All-In-One Attachments,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-M20-FRAME,Force USA M20 Frame,STRENGTH,All-In-One Trainers - All-In-One Trainers,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-M20-PLC,Force USA M20 Weight Plate Carrier,STRENGTH,All-In-One Trainers - All-In-One Trainers,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-M20-SMITH,Force USA M20 Smith Bar,STRENGTH,All-In-One Trainers - All-In-One Trainers,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-M20-WS-200LBS,Force USA M20 200lbs/ 90kg Weight Stack,STRENGTH,All-In-One Trainers - All-In-One Trainers,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-MJ-4S-DP,Force USA - Ridgeline - 4 Stack Multi Jungle Dual Pulley,COMMERCIAL,Pin Loaded - Dual Function,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-MJ-4S-SP,MultiJungle 4 Stack Single Pulley,COMMERCIAL,Pin Loaded - Dual Function,Non-stocked,1,1,0,0,1,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-MJ-5S,MultiJungle 5 Stack,COMMERCIAL,Pin Loaded - Dual Function,Non-stocked,1,1,0,0,1,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-MJ-8S,Force USA - Ridgeline - 8 Stack Multi Jungle,COMMERCIAL,Pin Loaded - Dual Function,Non-stocked,0,1,1,1,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,1,0,PO0033276,0.00,,,
FORCE USA,F-MJ-CCO,Force USA Ridgeline Cable Crossover,COMMERCIAL,Pin Loaded - Dual Function,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-MR-SEAT-V2,Force USA - MyRack Seat Attachment,STRENGTH,Rigs & Racks - Attachments,Obsolete,9,9,0,0,9,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-MYRACK-SLING,Force USA Sling Safeties,STRENGTH,Rigs & Racks - Attachments,B,79,79,0,0,79,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-OLY-MAROONS,Force USA Maroons Barbell,STRENGTH,Barbells,Non-stocked,0,0,44,0,0,0,0, $ -   ,1, $ -   ,,0.0,24-Aug-2026,50,0,PO0033038,0.00,,,
FORCE USA,F-OLY-OBSIDIAN-15,Force USA 15kg Olympic Barbell - Obsidian Black,STRENGTH,Barbells & Weight Plates - Olympic Barbells,C,49,49,0,0,49,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-OLY-OBSIDIAN-20,Force USA 20kg Olympic Barbell - Obsidian Black,STRENGTH,Barbells & Weight Plates - Olympic Barbells,C,49,49,0,0,49,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-OLY-ONYX-20,Force USA 20kg Olympic Power Barbell - Onyx Black,STRENGTH,Barbells & Weight Plates - Olympic Barbells,C,47,47,0,0,47,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-OLY-USA-20,Force USA 20kg Olympic Barbell - Amercian Flag,STRENGTH,Barbells & Weight Plates - Olympic Barbells,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-OLY-WL-15,Force USA 15kg Olympic Weightlifting Barbell,STRENGTH,Barbells & Weight Plates - Olympic Barbells,C,49,49,0,0,49,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-OLY-WL-20,Force USA 20kg Olympic Weightlifting Barbell,STRENGTH,Barbells & Weight Plates - Olympic Barbells,C,49,49,0,0,49,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-PGB10C-LB,Force USA - Ultimate Training Bumper Plates - 10lb - Black,STRENGTH,Weight Plates,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-PGB25C-LB,Force USA - Pro Grade Bumper Plates 25lb - Green,STRENGTH,Weight Plates,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-PGB35C-LB,Force USA - Pro Grade Bumper Plates 35lb - Yellow,STRENGTH,Weight Plates,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-PGB45C-LB,Force USA -Pro Grade Bumper Plates 45lb - Blue,STRENGTH,Weight Plates,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-PGB55C-LB,Force USA -Pro Grade Bumper Plates 55lb - Red,STRENGTH,Weight Plates,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-PGBC-10LB,Force USA - Pro Grade Bumper Plates 10lb - Grey,STRENGTH,Weight Plates,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-PH-3-BLACK,Force USA Plate Holders (Pair) Black,OTHER,All in One attachment/upgrade,Obsolete,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-QLDPGB10,Force USA QLD Pro Grade Bumper Plate 10kg,STRENGTH,Barbells & Weight Plates - Bumper Plates,Non-stocked,0,0,36,0,0,24,0, $ -   ,0, $ -   ,,0.0,24-Aug-2026,40,26,PO0033004,0.00,,,
FORCE USA,F-QLDPGB15,Force USA QLD Pro Grade Bumper Plate 15kg,STRENGTH,Barbells & Weight Plates - Bumper Plates,Obsolete,0,0,6,0,0,2,0, $ -   ,0, $ -   ,,0.0,24-Aug-2026,10,2,PO0033004,0.00,,,
FORCE USA,F-QLDPGB20,Force USA QLD Pro Grade Bumper Plate 20kg,STRENGTH,Barbells & Weight Plates - Bumper Plates,Obsolete,0,0,26,0,0,6,0, $ -   ,0, $ -   ,,0.0,24-Aug-2026,30,8,PO0033004,0.00,,,
FORCE USA,F-QLDPGB25,Force USA QLD Pro Grade Bumper Plate 25kg,STRENGTH,Barbells & Weight Plates - Bumper Plates,Obsolete,0,0,16,0,0,0,0, $ -   ,0, $ -   ,,0.0,24-Aug-2026,20,0,PO0033004,0.00,,,
FORCE USA,F-QLDPGB5,Force USA QLD Pro Grade Bumper Plate 5kg,STRENGTH,Barbells & Weight Plates - Bumper Plates,Obsolete,0,0,36,0,0,13,0, $ -   ,0, $ -   ,,0.0,24-Aug-2026,40,15,PO0033004,0.00,,,
FORCE USA,F-R-3D-HT-PL,Force USA Ridgeline 3D Hip Thrust - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,3,0,0,1,0, $ -   ,0, $ -   ,,0.0,14-Aug-2026,1,1,PO0033166,0.00,,,
FORCE USA,F-R-AAOIT,Force USA Ridgeline Abductor / Adductor (Outer / Inner Thigh) Machine - Pin Loaded,STRENGTH,Pin Loaded Machines,C,0,0,2,0,0,2,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,2,2,PO0033276,0.00,,,
FORCE USA,F-R-ACUD,Force USA Ridgeline Assisted Chin-Up / Dip Machine - Pin Loaded,STRENGTH,Pin Loaded Machines,C,0,0,2,0,0,1,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,2,1,PO0033276,0.00,,,
FORCE USA,F-R-BC-PL,Force USA Ridgeline Bicep Curl - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-BE-PL,Force USA Ridgeline Dual Back Extension - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,1,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,1,0,PO0033276,0.00,,,
FORCE USA,F-R-BT,Force USA Ridgeline Bicep / Tricep Machine - Pin Loaded,STRENGTH,Pin Loaded Machines,C,0,0,1,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,1,0,PO0033276,0.00,,,
FORCE USA,F-R-CP,Force USA Ridlgeline Chest Press Machine,COMMERCIAL,Pin Loaded - Single Function,C,0,1,1,1,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,1,0,PO0033276,0.00,,,
FORCE USA,F-R-CP-PL,Force USA Ridgeline Chest Press - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,1,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,1,0,PO0033276,0.00,,,
FORCE USA,F-R-CR,Force USA Ridlgeline Standing Calf Raise Machine,COMMERCIAL,Plate Loaded - Single Function,Non-stocked,1,1,0,0,1,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-CR-PL,Force USA Ridgeline Calf Raise - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,2,0,0,1,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,2,1,PO0033276,0.00,,,
FORCE USA,F-R-D-PL,Force USA Ridgeline Deadlift - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-DCP-PL,Force USA Ridgeline Decline Chest Press - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-HAB,Force USA Ridlgeline HIP ABDUCTOR Machine,COMMERCIAL,Plate Loaded - Single Function,Non-stocked,1,1,0,0,1,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-HAD,Force USA Ridlgeline HIP ADDUCTOR Machine,COMMERCIAL,Plate Loaded - Single Function,Non-stocked,1,1,0,0,1,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-HG,Force USA Ridlgeline Hip Glute Machine,COMMERCIAL,Plate Loaded - Single Function,Non-stocked,1,1,0,0,1,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-HR-PL,Force USA Ridgeline High Row - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-ICP-PL,Force USA Ridgeline Incline Chest Press - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-KGT-PL,Force USA Ridgeline Kneeling Glute Trainer - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-KLC-PL,Force USA Ridgeline Kneeling Leg Curl - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-LC,Force USA RidlgelineLeg Curl Machine,COMMERCIAL,Plate Loaded - Single Function,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-LE,Force USA Ridgeline Leg Extension Machine,COMMERCIAL,Plate Loaded - Single Function,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-LE-PL,Force USA Ridgeline Leg Extention - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,1,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,1,0,PO0033276,0.00,,,
FORCE USA,F-R-LELC,Force USA Ridgeline Leg Extension / Leg Curl Machine - Pin Loaded,STRENGTH,Pin Loaded Machines,C,0,0,2,0,0,3,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,2,2,PO0033276,0.00,,,
FORCE USA,F-R-LES,Force USA Ridlgeline Seated Leg Extension Machine,COMMERCIAL,Plate Loaded - Single Function,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-LP,Force USA Ridgeline Leg Press Machine - Pin Loaded,STRENGTH,Pin Loaded Machines,C,0,0,1,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,1,0,PO0033276,0.00,,,
FORCE USA,F-R-LP-PL,Force USA Ridgeline Leg Press - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,1,0,0,1,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,1,1,PO0033276,0.00,,,
FORCE USA,F-R-LPD,Force USA Ridlgeline Lat Pulldown Machine,COMMERCIAL,Plate Loaded - Single Function,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-LPD-PL,Force USA Ridgeline Lat Pulldown - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-LPSR,Force USA Ridgeline Lat Pulldown / Seated Row Machine - Pin Loaded,STRENGTH,Pin Loaded Machines,C,0,0,2,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,2,0,PO0033276,0.00,,,
FORCE USA,F-R-MA-PL,Force USA Ridgeline Multi Abductor - Plate Loaded,COMMERCIAL,Plate Loaded - Dual Function,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-MP,Force USA Ridgeline Multipress Press Machine - Pin Loaded,STRENGTH,Pin Loaded Machines,C,0,0,1,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,1,0,PO0033276,0.00,,,
FORCE USA,F-R-MPS,Force USA Ridlgeline Multi Press Machine,COMMERCIAL,Plate Loaded - Dual Function,Non-stocked,1,1,0,0,1,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-PF,Force USA Ridlgeline Pectoral Fly Machine,COMMERCIAL,Pin Loaded - Single Function,C,1,1,0,0,1,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-PKB-PL,Force USA Ridgeline Pendulum Kick Back - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-RDPF,Force USA Ridgeline Rear Deltoid / Pec Fly Machine - Pin Loaded,STRENGTH,Pin Loaded Machines,C,0,0,1,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,1,0,PO0033276,0.00,,,
FORCE USA,F-R-SD-PL,Force USA Ridgeline Seated Dip - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-SLC,Force USA Ridlgeline Seated Leg Curl Machine,COMMERCIAL,Plate Loaded - Single Function,Non-stocked,1,1,0,0,1,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-SP,Force USA Ridlgeline Shoulder Press Machine,COMMERCIAL,Plate Loaded - Single Function,Non-stocked,1,1,0,0,1,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-R-SP-PL,Force USA Ridgeline Shoulder Press - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,1,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,1,0,PO0033276,0.00,,,
FORCE USA,F-R-SPP,Force USA Ridlgeline Shoulder Press Pro Machine,COMMERCIAL,Plate Loaded - Single Function,Non-stocked,0,1,1,1,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,1,0,PO0033276,0.00,,,
FORCE USA,F-R-SR-PL,Force USA Ridgeline Seated Row - Plate Loaded,COMMERCIAL,Plate Loaded - Single Function,C,0,0,1,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,1,0,PO0033276,0.00,,,
FORCE USA,F-R-TE,Force USA Ridlgeline Triceps Extension Machine,COMMERCIAL,Plate Loaded - Single Function,Non-stocked,1,1,0,0,1,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-RACK-BANDPEG,Force USA Bandpegs,STRENGTH,Rigs & Racks - Attachments,C,57,57,0,0,57,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-RIG-4FTPIN,4FT Pin & Pipe Safeties (Pair),STRENGTH,Rigs & Racks - Attachments,Obsolete,64,64,0,0,64,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-RIG-4PU-BLUE,Force USA 4ft Pull Up Bar (Blue),STRENGTH,Rigs & Racks - Rigs,C,27,27,0,0,27,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-RIG-5FTMB,5FT Single Monkey Bars - Lasercut,STRENGTH,,Obsolete,10,10,0,0,10,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-RIG-5PU,Force USA 5ft Pull Up Bar,STRENGTH,Rigs & Racks - Rigs,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-ROWERG,Force USA RowErg,CARDIO,Rowers,A,0,0,40,0,0,0,0, $ -   ,0, $ -   ,,0.0,24-Aug-2026,40,0,PO0033159,0.00,,,
FORCE USA,F-S-RDPF-B,Force USA SolitudeRear Deltoid / Pec Fly Machine,COMMERCIAL,Pin Loaded - Dual Function,Obsolete,2,2,0,0,2,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-SHD10-LB,Force USA Straight Handle Hex Dumbbell - 10LB,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-SHD100-LB,Force USA Straight Handle Hex Dumbbell - 100LB,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-SHD105-LB,Force USA Straight Handle Hex Dumbbell - 105LB,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
FORCE USA,F-SHD110-LB,Force USA Straight Handle Hex Dumbbell - 110LB,STRENGTH,Dumbbells,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
